대분류	요소	세부항목	데이터유형	단위/코드예시	세부기준/범위 예시	영향	비고
입지/급지	도시 위상	수도권 여부	코드	수도권/비수도권	수도권 / 비수도권	수도권은 일자리·유동성 집중으로 절대 시세 형성에 유리	최상위 분류
입지/급지	도시 위상	행정 레벨	코드	특별시/광역시/시/군	서울특별시 / 광역시 / 일반시 / 군지역	행정 레벨보다 실제 수요가 중요하지만 초기 분류에는 유용	보조 지표
입지/급지	도시 위상	도심 접근 권역	코드	핵심/준핵심/외곽	도심 30분권 / 45분권 / 60분권 / 90분권 이상	핵심 생활권일수록 수요와 가격 방어력 우수	시간 기반 권역화 가능
입지/급지	지역 급지	서비스 급지등급	코드	S/A/B/C/D	S / A / B / C / D	상급지일수록 수요 질과 환금성이 높음	서비스 내부 기준 필요
입지/급지	지역 급지	동 단위 선호도	코드	상/중/하	상 / 중 / 하	같은 구 내에서도 동별로 가격차 발생	생활권 단위 세분화
입지/급지	지역 급지	생활권 완성도	정성	5점 척도	매우 우수 / 우수 / 보통 / 미흡 / 부족	상권·공원·학교·병원·교통이 균형 잡힐수록 선호도 상승	정성 평가
입지/급지	생활권 수준	상권 중심지 도보시간	정량	분	5 / 10 / 15 / 20분 이상	핵심 상권 접근성이 좋을수록 생활 편의와 지역 이미지 향상	도보 기준
입지/급지	생활권 수준	대형마트 접근시간	정량	분	차량 5 / 10 / 15 / 20분 이상	생필품 구매 편의성과 실거주 선호에 영향	차량 기준
입지/급지	생활권 수준	백화점/복합몰 접근시간	정량	분	차량 10 / 20 / 30분 이상	광역 생활편의와 지역 위상에 영향	선택 지표
입지/급지	생활권 수준	행정시설 접근성	정성	5점 척도	주민센터·구청·은행·우체국 도보권 여부	생활 편의성에 보조적 영향	고령층 민감
입지/급지	생활권 수준	치안 체감	정성	5점 척도	안전 / 보통 / 불안	야간 보행·주거 선호도에 영향	정성 데이터
입지/급지	생활권 수준	유흥밀집도	코드	높음/보통/낮음	유흥상권 중심 / 혼합 / 일반주거형	유흥 밀집도가 높으면 가족 실거주 선호 하락	상권 유형과 함께 평가
입지/급지	미세 입지	단지 전면도로 폭	코드	대로/중로/소로	왕복 8차선 이상 / 4~6차선 / 이면도로	대로변은 접근은 좋지만 소음·분진 감점 가능	장단점 병존
입지/급지	미세 입지	교차로 인접 여부	불리언	Y/N	Y / N	대형 교차로 인접 시 소음·분진·보행 불편 가능	동별 차이
입지/급지	미세 입지	버스정류장 인접도	정량	분	도보 3 / 5 / 10분	대중교통 보완 및 생활 이동성 향상	역세권 보완
입지/급지	미세 입지	초등학교 직선거리	정량	m	100 / 300 / 500 / 800m	가족 수요 판단의 기초 지표	실제 도보거리와 병행 필요
입지/급지	미세 입지	초등학교 도보거리	정량	m	200 / 400 / 600 / 1,000m	실제 체감 통학성과 가격 영향에 더 적합	도보 네트워크 기반
입지/급지	미세 입지	초등학교 도보시간	정량	분	3 / 5 / 10 / 15분	짧을수록 가족 수요 선호 상승	실거주 핵심
입지/급지	미세 입지	언덕 경사도	정량	%	0~3 / 3~7 / 7% 이상	경사가 심할수록 유모차·노약자 이동 불편	지도 데이터 연계 가능
입지/급지	미세 입지	하천 인접도	정량	m	100 / 300 / 500m	조망·산책 프리미엄 가능, 반면 침수위험도 확인 필요	양면성 있음
입지/급지	미세 입지	송전선 인접도	정량	m	100 / 300 / 500m	심리적 기피로 선호도 저하 가능	정성 리스크
입지/급지	미세 입지	혐오시설 방향성	코드	정면/측면/후면/비해당	정면 노출 / 일부 노출 / 비노출	거리뿐 아니라 시야 노출 여부가 심리적 영향 큼	방향성 중요
교통	직주근접	주요 업무지구1 도어투도어	정량	분	강남 35분 / 여의도 45분 / 판교 30분 등	주요 수요층의 출근 편의성을 직접 반영	핵심 변수
교통	직주근접	주요 업무지구2 도어투도어	정량	분	광화문 40분 / 마곡 50분 등	복수 업무지구 접근성을 반영하면 실제 수요 폭 판단 가능	보조 변수
교통	직주근접	맞벌이 평균 출근시간	정량	분	부부 평균 45분 / 60분 등	맞벌이 가구 실거주 적합성에 중요	개인 맞춤형
교통	직주근접	출퇴근 피크시간 변동성	정성	5점 척도	안정적 / 변동 큼	지도상 시간보다 실제 피크시간 체감이 중요	실사용성 요소
교통	역세권 여부	역 출입구까지 거리	정량	m	150 / 300 / 500 / 800m	출입구 기준이 실제 역세권 체감과 가장 밀접	직선거리와 구분
교통	역세권 여부	역 출입구까지 도보시간	정량	분	2 / 4 / 7 / 10 / 15분	짧을수록 강한 프리미엄 가능	체감 지표
교통	역세권 여부	언덕/횡단보도 보정	코드	없음/약함/강함	평지 / 횡단보도 1개 / 대형교차로 통과	같은 거리라도 체감 역세권이 달라짐	보정 지표
