대분류	요소	세부항목	데이터유형	단위/코드예시	세부기준/범위 예시	영향	비고
생활편의	쇼핑	편의점 접근성	정량	분	도보 1 / 3 / 5 / 10분 이상	기본 생활 편의 판단	기초 편의
생활편의	쇼핑	슈퍼마켓 접근성	정량	분	도보 3 / 5 / 10 / 15분	장보기 편의와 실거주 만족도에 영향	근린생활 편의
생활편의	쇼핑	대형마트 접근성	정량	분	차량 5 / 10 / 15 / 20분 이상	주간 소비 편의성에 영향	차량권 지표
생활편의	쇼핑	창고형 마트 접근성	정량	분	차량 10 / 20 / 30분 이상	일부 가족 수요에 선호도 상승	선택 지표
생활편의	쇼핑	백화점 접근성	정량	분	차량 10 / 20 / 30 / 40분 이상	광역 생활편의와 지역 위상에 영향	보조 지표
생활편의	의료	소아과 접근성	정량	분	도보 5 / 10 / 차량 10 / 20분 이상	영유아 가구 만족도에 매우 중요	실거주 핵심
생활편의	의료	내과 접근성	정량	분	도보 5 / 10 / 15분 이상	일상 진료 접근성 판단	기본 편의
생활편의	의료	응급실 접근성	정량	분	차량 10 / 20 / 30 / 40분 이상	안전 체감과 가족 선호에 영향	고령층 중요
생활편의	의료	종합병원 접근성	정량	분	차량 10 / 20 / 30 / 40분 이상	중장기 거주 안정감에 영향	보조 지표
생활편의	의료	대학병원 접근성	정량	분	차량 20 / 30 / 40 / 60분 이상	고령층·중증 의료 수요에 영향	선택 지표
생활편의	교육	어린이집 접근성	정량	분	도보 3 / 5 / 10분 이상	영유아 가구 실거주 적합성에 영향	육아 지표
생활편의	교육	유치원 접근성	정량	분	도보 5 / 10 / 차량 10분 이상	육아 가구 선호에 영향	실거주 지표
생활편의	교육	초등학교 접근성	정량	분	도보 3 / 5 / 10 / 15분 이상	가족 수요의 핵심 판단요소	핵심 변수
생활편의	교육	중학교 접근성	정량	분	도보 10 / 15 / 버스통학 필요	교육 편의성에 영향	학군 연계
생활편의	교육	고등학교 접근성	정량	분	도보 10 / 20 / 대중교통 필요	장기 실거주 선택에 영향	보조 지표
생활편의	교육	도서관 접근성	정량	분	도보 5 / 10 / 차량 10 / 20분 이상	면학 분위기와 생활 품질에 영향	보조 요소
생활편의	공원/운동	근린공원 접근성	정량	분	도보 3 / 5 / 10 / 15분 이상	산책·육아·휴식에 직접 영향	실거주 지표
생활편의	공원/운동	대형공원 접근성	정량	분	도보 10 / 차량 10 / 20 / 30분 이상	희소 프리미엄 가능	상급 생활권 요인
생활편의	공원/운동	하천 산책로 접근성	정량	분	도보 5 / 10 / 15 / 20분 이상	쾌적성과 운동 편의 증가	수변 프리미엄 가능
생활편의	공원/운동	체육센터 접근성	정량	분	도보 10 / 차량 10 / 20분 이상	생활 만족도와 가족 이용 편의에 영향	보조 요소
생활편의	공원/운동	헬스장 접근성	정량	분	도보 5 / 10 / 15분 이상	젊은층 실거주 만족도에 영향	단지 내 시설과 중복 가능
생활편의	공공/행정	주민센터 접근성	정량	분	도보 5 / 10 / 15분 이상	행정 편의성에 영향	고령층 민감
생활편의	공공/행정	우체국 접근성	정량	분	도보 5 / 10 / 15분 이상	기본 생활 편의	보조 지표
생활편의	공공/행정	은행 접근성	정량	분	도보 3 / 5 / 10 / 15분 이상	일상 금융 편의에 영향	오프라인 수요 감소 반영 가능
생활편의	문화	영화관 접근성	정량	분	차량 10 / 20 / 30 / 40분 이상	여가 편의성에 영향	광역권 지표
생활편의	문화	문화센터 접근성	정량	분	도보 10 / 차량 10 / 20분 이상	가족 단위 생활 만족도 상승	부가 요소
생활편의	문화	카페거리 접근성	정량	분	도보 5 / 10 / 15 / 20분 이상	신혼·젊은층 선호에 영향	상권 연계
생활편의	배달/디지털	배달 편의성	정성	5점 척도	매우 우수 / 우수 / 보통 / 미흡 / 부족	맞벌이·1~2인 가구 만족도에 영향	정성 지표
생활편의	배달/디지털	새벽배송 가능성	불리언	Y/N	Y / N	생활 편의와 체감 현대성에 영향	도시형 지표
생활편의	배달/디지털	모빌리티 접근성	정성	5점 척도	매우 우수 / 우수 / 보통 / 미흡 / 부족	택시 호출·공유차량·킥보드 이용 편의	젊은층 영향
생활편의	반려생활	동물병원 접근성	정량	분	도보 5 / 10 / 차량 10 / 20분 이상	반려가구 수요에 영향	세부 타깃용
생활편의	반려생활	반려산책 적합성	정성	5점 척도	매우 우수 / 우수 / 보통 / 미흡 / 부족	공원·보행친화성 체감에 영향	세부 타깃용
생활편의	생활품질	24시간 생활편의	정성	5점 척도	매우 우수 / 우수 / 보통 / 미흡 / 부족	야간 편의와 안전 체감에 영향	상권/치안 연계
생활편의	생활품질	가족친화도	정성	5점 척도	매우 우수 / 우수 / 보통 / 미흡 / 부족	육아/교육/공원/병원 종합 체감	서비스 계산값
생활편의	생활품질	1인가구 친화도	정성	5점 척도	매우 우수 / 우수 / 보통 / 미흡 / 부족	교통/상권/배달/치안 중심 평가	서비스 계산값
생활편의	종합평가	생활편의등급	코드	S/A/B/C/D	S / A / B / C / D	실거주 편의 전반의 종합값	서비스 계산값
