아파트	요소	영향
공통	[직접] 도시 위상	서울·수도권 핵심지·광역시 핵심 생활권처럼 도시 위상이 높을수록 고소득 수요와 유동성이 몰려 절대 시세와 하방 방어력이 높아짐
공통	[직접] 지역 급지	상급지는 좋은 수요가 오래 남아 상승기 탄력과 하락기 방어력이 강하고, 하급지는 거래가 먼저 마르는 경향이 있음
공통	[직접] 생활권 수준	같은 구 안에서도 생활권 완성도에 따라 가격 차이가 발생하며 상권·학교·공원·병원·통근 편의가 좋을수록 선호도 상승
공통	[직접] 미세 입지	같은 동네라도 대로 안쪽, 언덕 여부, 초등학교 동선, 역 출입구 체감거리 차이로 가격이 벌어짐
공통	[직접] 역세권 여부	도보 역세권일수록 실수요가 강하고 환금성이 높아져 시세 프리미엄 형성
공통	[직접] 노선 가치	단순 역세권보다 어느 노선인지, 환승이 쉬운지, 핵심 업무지구 접근성이 어떤지가 더 큰 가격 변수로 작용
공통	[직접] 광역교통	광역버스·GTX·광역철도 접근성이 좋으면 생활 반경과 수요권이 넓어져 가격 상승에 유리
공통	[직접] 도로 접근성	자차 이동이 중요한 지역에서는 IC·간선도로 접근성이 좋을수록 실거주 만족과 지역 선호도 상승
공통	[직접] 직주근접	핵심 업무지구까지 이동시간이 짧을수록 실수요와 투자수요가 함께 붙어 가격이 강해짐
공통	[직접] 학군	좋은 학군은 자녀 가구의 고정 수요를 만들어 상승기뿐 아니라 하락기에도 방어력 제공
공통	[직접] 통학 안전성	초등학교 통학 동선이 안전할수록 가족 수요가 선호하고 반대면 실거주 감점이 큼
공통	[직접] 학원가 접근성	학원가가 가까우면 중산층 가족 수요가 안정적으로 붙어 가격 유지력 강화
공통	[직접] 생활 인프라	마트·병원·공원·행정시설·문화시설이 가까울수록 실거주 선호와 장기 수요층 확대
공통	[직접] 상권 수준	일상형 상권이 잘 형성된 곳은 생활 편의가 높아 가격에 우호적이며 유흥·소음형 상권은 감점 가능
공통	[직접] 공원·녹지	공원과 산책 인프라가 좋으면 실거주 만족과 장기 가치 상승
공통	[직접] 연식	신축·준신축일수록 평면·설비·주차·커뮤니티 경쟁력이 높아 프리미엄 형성
공통	[직접] 브랜드	브랜드 인지도와 실제 시공 완성도가 높을수록 매수심리에 긍정적 영향
공통	[직접] 세대수	대단지는 인지도·커뮤니티·거래량이 좋아 환금성과 시세 방어력에 유리
공통	[직접] 커뮤니티 시설	피트니스·독서실·키즈시설·게스트룸 등 커뮤니티가 좋을수록 신축 선호 수요 유입
공통	[직접] 주차대수	세대당 주차대수가 높을수록 실거주 만족이 높고 주차난은 강한 감점 요인
공통	[직접] 엘리베이터·설비	승강기 수, 난방, 배관, 누수, 전기 설비 상태가 좋을수록 유지관리 부담 감소
공통	[직접] 관리 품질	청소·경비·조경·장기수선 상태가 좋으면 같은 연식 내에서도 시세 프리미엄 유지
공통	[직접] 용적률	낮은 용적률은 쾌적성과 장기 재건축 기대에 유리할 수 있음
공통	[직접] 동간거리	동간거리가 넓을수록 일조·개방감·사생활 측면에서 선호도 상승
공통	[직접] 평면	4Bay, 맞통풍, 수납, 방 배치가 좋을수록 실거주 만족과 재판매 경쟁력 상승
공통	[직접] 전용률	체감 면적이 넓을수록 같은 평형 대비 상품성이 높게 평가됨
공통	[직접] 향	남향·남동향 중심의 선호가 강하며 채광과 난방 효율에 영향
공통	[직접] 일조	일조가 좋으면 거주 만족도가 높고 비선호 동·라인 대비 가격 우위 형성
공통	[직접] 통풍	맞통풍이 잘되는 구조는 쾌적성과 선호도 측면에서 유리
공통	[직접] 층수	중고층은 일반적으로 선호도가 높고 저층은 소음·사생활 이슈, 초고층은 취향 차이 발생
공통	[직접] 조망	공원·하천·산·시티뷰 조망은 희소성이 있으면 강한 프리미엄 형성
공통	[직접] 소음	대로변·철도변·상가 앞·학교 앞 소음은 실거주 만족도와 재판매성에 악영향
공통	[직접] 거래량	거래량이 많을수록 가격 신뢰도가 높고 환금성이 좋음
공통	[직접] 실거래가 흐름	최근 실거래가의 저점 상승·신고가 갱신은 수요 강도를 보여주고 약세 흐름은 심리 위축 유발
공통	[직접] 호가-실거래 괴리	호가만 높고 거래가 없으면 시세 신뢰도가 낮아짐
공통	[직접] 전세가율	전세가율이 높으면 하방 지지력과 투자 레버리지 효율이 좋아질 수 있음
공통	[직접] 전세 수요	임대 수요가 탄탄하면 매매가 방어와 갭 투자 안정성에 도움
공통	[직접] 입주물량	직접 경쟁 신축 입주가 많으면 기존 아파트 시세와 전세가에 압박 발생
공통	[직접] 미분양 수준	주변 미분양이 많으면 지역 수요가 약하다는 신호로 해석되어 가격에 부담
공통	[간접] 기준금리	금리 하락은 대출 부담 완화로 매수 여력을 키우고 금리 상승은 주택 수요를 위축시킴
공통	[간접] 시장 유동성	유동성이 풍부하면 자산시장 자금 유입이 쉬워지고 부족하면 거래 둔화
공통	[간접] 대출규제(LTV)	대출 가능 비율이 낮아지면 매수 가능한 수요층이 줄어 시세 상단이 눌림
공통	[간접] 대출규제(DSR)	차주별 대출한도가 줄어 실수요·투자수요 모두 위축될 수 있음
