대분류	요소	세부항목	데이터유형	단위/코드예시	세부기준/범위 예시	영향	비고
조망	조망유형	공원뷰	코드	VIEW_PARK	대형공원 / 근린공원 / 소공원	개방감과 희소성으로 프리미엄 가능	영구성 확인 필요
조망	조망유형	하천뷰	코드	VIEW_RIVER	한강 / 지천 / 수변공원	희소성 높으면 강한 프리미엄 가능	침수위험 별도 판단
조망	조망유형	산뷰	코드	VIEW_MOUNTAIN	근거리 산 / 원거리 산	쾌적성과 선호도 상승	계절·방향 영향
조망	조망유형	시티뷰	코드	VIEW_CITY	도심 스카이라인 / 야경	고층 선호층에 프리미엄 가능	취향 차이 존재
조망	조망유형	단지내뷰	코드	VIEW_COMPLEX	조경 조망 / 놀이터 / 커뮤니티	무난한 선호도	표준형
조망	조망유형	맞동뷰	코드	VIEW_BUILDING	인접동 정면 / 측면	프라이버시 저하 가능	감점 요소
조망	조망유형	벽뷰	코드	VIEW_WALL	옹벽 / 상가벽 / 근접건물 벽	강한 감점 가능	저층 리스크
조망	조망유형	도로뷰	코드	VIEW_ROAD	대로 / 중로 / 소로	개방감은 있으나 소음·분진 동반 가능	양면성
조망	조망지속성	영구조망	불리언	Y/N	Y / N	장기 프리미엄 지속 가능성 높음	핵심
조망	조망지속성	차폐가능성	코드	LOW/MID/HIGH	향후 신축 가능성 낮음 / 보통 / 높음	현재 프리미엄의 지속성 판단	미래 리스크
조망	조망등급	조망등급	코드	S/A/B/C/D	S / A / B / C / D	서비스 내부 비교 기준 마련	계산값 가능
소음	소음유형	도로소음	코드	NOISE_ROAD	대로변 / 간선도로 / 이면도로	지속 소음과 분진으로 실거주 감점	교통과 상충
소음	소음유형	철도소음	코드	NOISE_RAIL	지상철 / 지하철 지상구간 / KTX 등	반복 진동·소음 감점	거리 중요
소음	소음유형	항공기소음	코드	NOISE_AIR	항공로 인접 / 공항권	특정 지역 장기 할인 요인	시간대 중요
소음	소음유형	상권소음	코드	NOISE_COMMERCIAL	유흥가 / 음식점 밀집 / 배달집중	야간 소음·취기·혼잡 감점	상권 유형 연계
소음	소음유형	학교소음	코드	NOISE_SCHOOL	운동장 / 등하교 동선 인접	주간 소음 발생	가족수요는 장점/단점 혼재
소음	소음유형	커뮤니티소음	코드	NOISE_COMPLEX	놀이터 / 어린이집 / 출입구 앞	호실별 체감 차이 큼	단지 내 요인
소음	소음등급	주간소음등급	코드	1/2/3/4/5	매우 낮음 / 낮음 / 보통 / 높음 / 매우 높음	실거주 체감에 영향	내부 등급화
소음	소음등급	야간소음등급	코드	1/2/3/4/5	매우 낮음 / 낮음 / 보통 / 높음 / 매우 높음	수면 질과 장기 거주 만족도에 영향	컷오프 가능
리스크	환경리스크	악취	코드	RISK_ODOR	하수 / 음식물 / 공장 / 축사 등	실거주 기피 요소	풍향 영향
리스크	환경리스크	분진	코드	RISK_DUST	대로변 / 공사장 / 산업단지	창문 개방·청소 부담 증가	실거주 민감
리스크	환경리스크	매연	코드	RISK_EXHAUST	버스차고지 / 대형도로 / 물류동선	주거쾌적성 저하	도로 인접 연동
리스크	시설리스크	혐오시설	코드	RISK_HATE	소각장 / 하수처리장 / 장례식장 / 교정시설 / 변전소	심리적 할인 요인	거리+노출 중요
리스크	시설리스크	송전선/철탑	코드	RISK_POWER	100m / 300m / 500m 이내	기피 인식 가능	정성 민감
리스크	재해리스크	침수이력	불리언	Y/N	Y / N	강한 감점 또는 컷오프 사유	핵심 리스크
리스크	재해리스크	저지대 여부	불리언	Y/N	Y / N	침수위험 잠재 가능성	지형 연계
리스크	재해리스크	산사태위험	코드	LOW/MID/HIGH	낮음 / 보통 / 높음	산지 인접 지역 리스크	특정 지역용
리스크	재해리스크	지반이슈	코드	LOW/MID/HIGH	없음 / 주의 / 우려	안전과 심리에 영향	특정 지역용
리스크	사생활리스크	맞동정면	불리언	Y/N	Y / N	프라이버시 저하와 커튼 상시 사용 가능성	호실 리스크
리스크	사생활리스크	엘리베이터직면	불리언	Y/N	Y / N	현관 앞 소음·시선 부담	호실 리스크
리스크	운영리스크	주차갈등	코드	LOW/MID/HIGH	낮음 / 보통 / 높음	실거주 불만과 민원 증가	단지 운영 리스크
리스크	운영리스크	민원빈도	코드	LOW/MID/HIGH	낮음 / 보통 / 높음	관리 품질과 커뮤니티 분위기 저하	정성 지표
리스크	운영리스크	하자민원	코드	LOW/MID/HIGH	낮음 / 보통 / 높음	브랜드·단지 신뢰도에 영향	정성 지표
리스크	종합리스크	리스크등급	코드	SAFE/CAUTION/RISK/HIGH_RISK	안전 / 주의 / 위험 / 고위험	총점과 별개로 경보성 판단 가능	서비스 계산값
