대분류	요소	세부항목	데이터유형	단위/코드예시	세부기준/범위 예시	영향	비고
평형	면적구간	초소형	코드	SIZE_XS	전용 40㎡ 미만	1인가구·임대형 수요 중심	환금성 지역별 차이 큼
평형	면적구간	소형	코드	SIZE_S	전용 40~59㎡	1~2인가구·신혼 수요 강함	도심형 선호
평형	면적구간	중소형	코드	SIZE_SM	전용 60~74㎡	소가족·갈아타기 수요	표준 수요층
평형	면적구간	국민평형	코드	SIZE_84	전용 84㎡ 내외	가장 넓은 대중 수요층 형성	환금성 강점
평형	면적구간	중대형	코드	SIZE_ML	전용 85~114㎡	중산층 가족 수요	지역 따라 선호 차이
평형	면적구간	대형	코드	SIZE_L	전용 115㎡ 이상	고소득층·상급지 중심 수요	환금성 편차 큼
평형	평면유형	판상형	코드	PLAN_PLATE	맞통풍/일자배치	대중 선호가 강해 재판매 유리	국내 선호 높음
평형	평면유형	타워형	코드	PLAN_TOWER	코너형/타워형 배치	조망 장점 있을 수 있으나 평면 선호도 편차 있음	케이스별 차이
평형	평면유형	복도식	코드	PLAN_CORRIDOR	복도형 진입 구조	프라이버시·단열·선호도에서 감점 가능	구축 다수
평형	평면유형	계단식	코드	PLAN_STAIRS	계단식 진입 구조	프라이버시와 선호도 우수	국내 선호 일반적
평형	방구성	2룸	코드	ROOM_2	방 2개	1~2인 및 소가족 적합	도심형
평형	방구성	3룸	코드	ROOM_3	방 3개	가장 넓은 가족 수요층	표준형
평형	방구성	4룸 이상	코드	ROOM_4P	방 4개 이상	대가족·중대형 수요	상급지·대형 위주
평형	수납구성	팬트리 여부	불리언	Y/N	Y / N	실사용 만족도 상승	신축 가점
평형	수납구성	드레스룸 여부	불리언	Y/N	Y / N	안방 수납 경쟁력 강화	실거주 가점
평형	수납구성	알파룸/다용도실	불리언	Y/N	Y / N	유연한 공간 활용 가능	가족 수요 선호
평형	전용률	전용률 수준	정량	%	70 / 75 / 80 / 85%	체감 면적 차이와 상품성 판단	정량 지표
평형	가구유형	1인가구 적합형	코드	HOUSE_1P	소형/역세권/상권형	도심형 수요와 임대 수요에 유리	투자/실거주 모두 가능
평형	가구유형	신혼부부 적합형	코드	HOUSE_NEWLY	소형~국민평형/교통/상권형	출퇴근·상권·신축성 중요	초기 매수층
평형	가구유형	영유아가구 적합형	코드	HOUSE_BABY	공원/소아과/어린이집 접근형	실거주 만족도에 강하게 영향	육아축 중요
평형	가구유형	초등자녀가구 적합형	코드	HOUSE_ELEM	통학안전/학군/국민평형 중심	통학과 학군이 핵심	가족형 대표
평형	가구유형	중고등자녀가구 적합형	코드	HOUSE_TEEN	학원가/학군/중대형 선호	교육 동선·면학 분위기 중요	학군지 핵심
평형	가구유형	부모동거형	코드	HOUSE_MULTI	중대형/평지/병원 접근형	평지·엘리베이터·병원 접근성 중요	고령친화 요소
평형	가구유형	고령가구 적합형	코드	HOUSE_SENIOR	평지/병원/소형·중소형 선호	이동 편의와 의료 접근이 핵심	실거주 중심
평형	가구유형	투자형 수요	코드	HOUSE_INVEST	지역별 선호 평형 중심	해당 지역 대표 수요 평형인지가 중요	환금성 핵심
평형	환금성	지역 대표 선호평형	코드	LOCAL_FAVORITE	59/74/84/101 등 지역별 상이	대표 평형이면 재판매 유리	지역 분석 필요
평형	환금성	비선호 평형 여부	불리언	Y/N	Y / N	지역 대표 수요와 어긋나면 거래 둔화 가능	투자 감점
평형	주차/면적	대형평형 주차적합성	정성	5점 척도	매우 우수 / 우수 / 보통 / 미흡 / 부족	대형평형은 차량 2대 이상 수요가 많아 주차 영향 큼	중대형 평가
평형	종합평가	가구유형 적합도	정성	5점 척도	매우 적합 / 적합 / 보통 / 미흡 / 부적합	개인 맞춤 점수 산출에 활용	서비스 계산값
평형	종합평가	평형 환금성 등급	코드	S/A/B/C/D	S / A / B / C / D	시장 선호 평형인지 종합 평가	서비스 계산값
