대분류	요소	세부항목	데이터유형	단위/코드예시	세부기준/범위 예시	영향	비고
정책/세금	보유비용	재산세 부담도	정성	5점 척도	매우 낮음 / 낮음 / 보통 / 높음 / 매우 높음	보유 유지비 체감과 장기 보유 의사에 영향	실거주·투자 공통
정책/세금	보유비용	종부세 해당 가능성	코드	NONE/POSSIBLE/APPLIED	비해당 / 가능성 / 해당	고가주택·다주택자 투자심리에 영향	민감 요소
정책/세금	보유비용	보유세 총부담 체감	정성	5점 척도	매우 낮음 / 낮음 / 보통 / 높음 / 매우 높음	세후 보유 매력도 판단	총합 개념
정책/세금	진입비용	취득세 부담도	정성	5점 척도	매우 낮음 / 낮음 / 보통 / 높음 / 매우 높음	매수 진입장벽과 거래량에 영향	다주택자 민감
정책/세금	진입비용	중과 여부	코드	NONE/MID/HIGH	일반 / 일부 중과 / 강한 중과	투자 수요 유입에 영향	정책 추적 필요
정책/세금	출구비용	양도세 부담도	정성	5점 척도	매우 낮음 / 낮음 / 보통 / 높음 / 매우 높음	매도 전략과 매물 출회에 영향	보유기간 연동
정책/세금	출구비용	비과세 가능성	코드	Y/N/PARTIAL	가능 / 불가 / 일부 가능	실거주 1주택 전략에 중요	조건 연계 필요
정책/세금	대출환경	LTV 규제 강도	코드	LOW/MID/HIGH	완화 / 보통 / 강함	실제 매수 가능한 수요층 폭 결정	핵심 정책 변수
정책/세금	대출환경	DSR 규제 강도	코드	LOW/MID/HIGH	완화 / 보통 / 강함	차주별 대출 가능액 제한	핵심 정책 변수
정책/세금	대출환경	금리 민감도	정성	5점 척도	매우 낮음 / 낮음 / 보통 / 높음 / 매우 높음	레버리지 수요 의존도 판단	시장별 편차
정책/세금	규제지역	규제지역 여부	코드	NONREG/ADJUST/OVERHEAT	비규제 / 조정 / 투기과열 수준	대출·세금·청약 규제에 영향	단계별 관리
정책/세금	규제지역	청약 규제 체감	정성	5점 척도	매우 낮음 / 낮음 / 보통 / 높음 / 매우 높음	신축 시장 수요 구조에 영향	청약시장 연동
정책/세금	공급정책	공급 확대 영향도	정성	5점 척도	매우 낮음 / 낮음 / 보통 / 높음 / 매우 높음	향후 입주 물량과 가격 압력에 영향	생활권 단위 중요
정책/세금	공급정책	정비사업 완화 수혜도	정성	5점 척도	매우 낮음 / 낮음 / 보통 / 높음 / 매우 높음	노후 단지 재평가 가능성	재건축 단지 핵심
정책/세금	보유전략	실거주 유지 적합도	정성	5점 척도	매우 적합 / 적합 / 보통 / 미흡 / 부적합	세금·대출·유지비 포함 장기거주 적합성	서비스 계산값
정책/세금	보유전략	투자 유지 적합도	정성	5점 척도	매우 적합 / 적합 / 보통 / 미흡 / 부적합	세후수익률과 환금성 포함 투자 유지 판단	서비스 계산값
정책/세금	매수타이밍	매수환경 체감	정성	5점 척도	매우 우호 / 우호 / 중립 / 비우호 / 매우 비우호	금리·규제·심리 종합 반영	서비스 계산값
정책/세금	매도타이밍	매도환경 체감	정성	5점 척도	매우 우호 / 우호 / 중립 / 비우호 / 매우 비우호	세금·거래량·시장 심리 종합 반영	서비스 계산값
정책/세금	종합평가	정책영향등급	코드	S/A/B/C/D	S / A / B / C / D	정책·세금·대출 환경 종합값	서비스 계산값
