대분류	요소	세부항목	데이터유형	단위/코드예시	세부기준/범위 예시	영향	비고
업무지구	핵심 업무지구	강남권	코드	GANGNAM	강남역 / 테헤란로 / 삼성 / 서초 포함	대한민국 최상위 직주근접 수요 축 중 하나	수도권 핵심
업무지구	핵심 업무지구	여의도권	코드	YEOUIDO	여의도 금융권 / IFC / 국회 일대	금융·방송·사무직 수요 강함	수도권 핵심
업무지구	핵심 업무지구	광화문/종로권	코드	GWANGHWAMUN	광화문 / 시청 / 을지로 / 종로	공공기관·대기업·전통 CBD 수요	수도권 핵심
업무지구	핵심 업무지구	판교권	코드	PANGYO	판교테크노밸리 / 백현 / 정자 인접권	IT·테크 수요 강함	경기 핵심
업무지구	핵심 업무지구	마곡권	코드	MAGOK	마곡산단 / LG사이언스파크 일대	R&D·대기업 수요	서부권 핵심
업무지구	핵심 업무지구	가산/구로권	코드	GASAN	가산디지털단지 / 구로디지털단지	직장인 수요 기반 큼	서남권 핵심
업무지구	핵심 업무지구	상암/DMC권	코드	SANGAM	상암 / DMC / 방송미디어 일대	미디어·IT 수요	서북권 핵심
업무지구	핵심 업무지구	잠실권	코드	JAMSIL	잠실 / 송파 / 문정 업무지구	동남권 주거·업무 결합 수요	잠실·문정 분리 가능
업무지구	핵심 업무지구	문정/법조타운	코드	MUNJEONG	문정 법조단지 / 문정 업무복합	송파 동남권 수요	법조·사무 수요
업무지구	핵심 업무지구	용산권	코드	YONGSAN	용산국제업무지구 예정 포함	향후 재평가 가능성 큼	개발 단계 반영
업무지구	핵심 업무지구	부산 센텀/문현	코드	BUSAN_CORE	센텀시티 / 문현금융단지	부산권 핵심 업무축	지방 핵심도시
업무지구	핵심 업무지구	대전 둔산/유성	코드	DAEJEON_CORE	둔산 / 정부청사 / 유성 연구단지	대전권 핵심 수요	지방 핵심도시
업무지구	핵심 업무지구	대구 수성/동성로권	코드	DAEGU_CORE	수성구 핵심 / 도심상권	대구권 수요 축	지방 핵심도시
업무지구	핵심 업무지구	광주 상무지구	코드	GWANGJU_CORE	상무지구 / 시청권	광주 핵심 업무지구	지방 핵심도시
업무지구	핵심 업무지구	울산 남구/삼산	코드	ULSAN_CORE	남구 / 삼산 / 산업축	울산 직장수요	지방 핵심도시
직주근접	도어투도어	업무지구별 출근시간	정량	분	20 / 30 / 45 / 60 / 90분 이상	짧을수록 실거주 선호와 지속 수요 증가	핵심 평가값
직주근접	도어투도어	업무지구별 환승횟수	정량	회	0 / 1 / 2 / 3회 이상	환승 적을수록 체감 가치 상승	시간과 함께 사용
직주근접	도어투도어	업무지구별 무환승 여부	불리언	Y/N	Y / N	무환승이면 직주근접 프리미엄 강화	노선 효율
노선	지하철	1호선	코드	L1	서울~수도권 동서남북 광역축	범용성 높으나 체감 품질 지역별 편차 큼	오래된 광역축
노선	지하철	2호선	코드	L2	강남·잠실·성수·을지로·신촌 순환 접근	핵심 생활권 연결성이 강해 가치 높음	서울 핵심 노선
노선	지하철	3호선	코드	L3	강남·압구정·종로·일산 연결	강남/도심/서북권 연결에 강점	선호 노선
노선	지하철	4호선	코드	L4	사당·서울역·동대문·노원축	남북 연결 가치	지역별 체감 상이
노선	지하철	5호선	코드	L5	여의도·광화문·마곡 연결	서부~도심~동부 연결 가치 우수	선호도 높음
노선	지하철	6호선	코드	L6	상암·합정·이태원·신당	생활권 연결형 가치	핵심업무 무환승 여부 중요
노선	지하철	7호선	코드	L7	강남권 외곽·가산·청담축	업무·생활권 연결에 강점	환승 조합 중요
노선	지하철	8호선	코드	L8	잠실·문정·성남축	동남권 가치에 영향	경기 연결 강화
노선	지하철	9호선	코드	L9	여의도·강남·송파 연결	급행 포함 시 상위 노선 가치 형성	선호도 높음
노선	지하철	신분당선	코드	SINBUNDANG	강남~판교~광교 축	강남/판교 직주근접에 매우 강함	프리미엄 노선
노선	지하철	수인분당선	코드	SUINBUNDANG	강남/분당/수원 연결	분당·수원·성남 가치에 영향	경기 핵심
노선	지하철	경의중앙선	코드	GYEONGUI	용산~홍대~DMC~고양 / 중앙축 결합	서울 서북~도심 광역 수요 반영	배차·환승 중요
노선	지하철	공항철도	코드	AREX	홍대·서울역·마곡·인천공항 연결	일부 지역에 강한 접근성 가치	업무+공항 수요
노선	지하철	GTX-A	코드	GTXA	수도권 광역급행축	개통/단계에 따라 가치 재평가 큼	단계별 반영
노선	지하철	GTX-B	코드	GTXB	계획/추진 광역축	기대감과 실제 반영 분리 필요	확정성 중요
노선	지하철	GTX-C	코드	GTXC	계획/추진 광역축	외곽 생활권 가치 재평가 기대	확정성 중요
노선	지하철	인천1/2호선	코드	INCHEON	인천권 핵심 생활축	인천 지역 가치 반영	지역형 노선
노선	지하철	의정부경전철 등 경전철	코드	LRT	지역 보조노선	단독 프리미엄보다 환승효율이 중요	보조노선
노선	버스	광역버스	코드	BUS_GWANGYEOK	M버스/광역좌석	수도권 외곽 실사용성에 매우 중요	배차 간격 중요
노선	버스	BRT	코드	BRT	간선급행버스축	지하철 대체·보완 역할	지역별 차이
노선	철도	KTX/SRT	코드	KTX	광역 이동	일부 지역 장기 프리미엄 보조요소	핵심보단 보조
노선평가	노선 가치	핵심업무지구 직접연결성	정성	5점 척도	매우 높음 / 높음 / 보통 / 낮음 / 매우 낮음	핵심 업무지구로 바로 연결될수록 가치 높음	서비스 계산값
노선평가	노선 가치	급행 여부	불리언	Y/N	Y / N	급행 존재 시 체감 이동시간 크게 개선	9호선/GTX 등
노선평가	노선 가치	배차 안정성	정성	5점 척도	매우 안정 / 안정 / 보통 / 불안정 / 매우 불안정	실제 이용 만족도와 직주근접 체감에 영향	정성 데이터
노선평가	노선 가치	혼잡도	정성	5점 척도	매우 낮음 / 낮음 / 보통 / 높음 / 매우 높음	같은 시간이라도 체감 가치가 달라짐	정성 데이터
